column_a,player_id,year,rnd,pick,tm,player,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
2001Russ Hochstein,HochRu20,2001,5,151,TAM,Russ Hochstein,No,C,C,11,23,2012,0,0,1,27,0,149,,,,,,,,,0,0,0,3,,,Nebraska
2001Onomo Ojo,,2001,5,153,NOR,Onomo Ojo,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,,California-Davis
2001Darnerien McCants,McCaDa00,2001,5,154,WAS,Darnerien McCants,No,WR,WR,7,23,2005,0,0,0,7,6,41,,,,,,1,9,0,58,774,8,6,,,Delaware St.
2001A.J. Feeley,FeelA.00,2001,5,155,PHI,A.J. Feeley,No,QB,QB,0,24,2011,0,0,1,7,6,28,425,762,4618,28,31,37,49,1,,,,2,,,Oregon
2001Patrick Chukwurah,ChukPa20,2001,5,157,MIN,Patrick Chukwurah,No,LB,LB,5,22,2007,0,0,0,8,3,78,,,,,,,,,,,,60,,9,Wyoming
2001John Markham,,2001,5,160,NYG,John Markham,No,K,K,0,,,0,0,0,,,,,,,,,,,,,,,,,,Vanderbilt
2001Jonathan Carter,CartJo01,2001,5,162,NYG,Jonathan Carter,No,WR,WR,4,22,2004,0,0,0,4,0,25,,,,,,,,,14,266,2,,,,Troy
2001Bobby Newcombe,,2001,6,166,ARI,Bobby Newcombe,No,WR,WR,0,,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska
2001Randy Garner,,2001,6,167,ATL,Randy Garner,No,DE,DE,0,,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas
2001Cedrick Wilson,WilsCe00,2001,6,169,SFO,Cedrick Wilson,No,WR,WR,16,22,2007,0,0,2,22,9,100,2,2,27,0,0,7,53,0,178,2365,8,9,,,Tennessee
2001Daleroy Stewart,StewDa20,2001,6,171,DAL,Daleroy Stewart,No,DT,DT,3,22,2004,0,0,0,3,2,26,,,,,,,,,,,,16,,1.5,Southern Miss
2001Josh Booty,,2001,6,172,SEA,Josh Booty,No,QB,QB,0,,,0,0,0,,,,,,,,,,,,,,,,,,LSU
2001Jason Glenn,GlenJa20,2001,6,173,DET,Jason Glenn,No,LB,LB,7,22,2006,0,0,0,7,,80,,,,,,,,,,,,83,,,Texas A&M
2001Jameel Cook,CookJa00,2001,6,174,TAM,Jameel Cook,No,FB,FB,2,22,2008,0,0,1,4,2,109,,,,,,14,43,0,84,510,3,37,,,Illinois
2001Dee Brown,BrowDe02,2001,6,175,CAR,Dee Brown,No,RB,RB,2,23,2006,0,0,0,2,2,43,0,1,0,0,1,119,405,4,21,114,2,15,,,Syracuse
2001Rashad Holman,HolmRa20,2001,6,179,SFO,Rashad Holman,No,DB,DB,4,23,2003,0,0,0,4,4,46,,,,,,,,,,,,89,2,,Louisville
2001Ellis Wyms,WymsEl20,2001,6,183,TAM,Ellis Wyms,No,DE,DE,8,22,2008,0,0,1,13,11,95,,,,,,,,,,,,102,,19,Mississippi St.
2001Mitch White,,2001,6,185,NOR,Mitch White,No,T,T,0,,,0,0,0,,,,,,,,,,,,,,,,,,Oregon St.
2001Mario Monds,MondMa20,2001,6,186,WAS,Mario Monds,No,DT,DT,1,24,2004,0,0,0,1,,7,,,,,,,,,,,,4,,,Cincinnati
2001Carey Scott,ScotCa20,2001,6,189,MIN,Carey Scott,No,DB,DB,0,23,2003,0,0,0,0,0,7,,,,,,,,,,,,2,,,Kentucky St.
2001Menson Holloway,,2001,6,191,SFO,Menson Holloway,No,DE,DE,0,,,0,0,0,,,,,,,,,,,,,,,,,,Texas-El Paso
1992T.J. Rubley,RublTJ00,1992,9,228,RAM,T.J. Rubley,No,QB,QB,5,23,1995,0,0,0,5,5,10,112,195,1377,8,7,31,108,0,,,,,,Tulsa,
2001David Martin,MartDa00,2001,6,198,GNB,David Martin,No,TE,TE,6,22,2011,0,0,3,12,6,120,,,,,,,,,159,1562,15,16,,,Tennessee
